Organisation_Code,Legal Name,Business Name(s),Is RTO,Status,Registration Manager,Legal Authority,Initial Registration Date,Registration Start Date,Registration End Date,Registration End Reason,Head Office Physical Address,Head Office Location State,Latitude,Longitude,VET Org Role,RTO Type,ABN,ACN,URL,CEO Contact Name,CEO Email,CEO Mobile,CEO Phone,Public Enquiries Contact Name,Public Enquiries Contact Role Job Title,Public Enquiries Group Name,Public Enquiries Organisation,Public Enquiries Email,Public Enquiries Mobile,Public Enquiries Phone,Registration Enquiries Contact Name,Registration Enquiries Contact Role Job Title,Registration Enquiries Email,Registration Enquiries Mobile,Registration Enquiries Phone,NSW Delivery Approved,VIC Delivery Approved,QLD Delivery Approved,SA Delivery Approved,WA Delivery Approved,TAS Delivery Approved,NT Delivery Approved,ACT Delivery Approved,International Delivery Approved,Current Restriction/Regulatory Decision
111,Photography Holdings Pty Ltd,PHOTOGRAPHY STUDIES COLLEGE (MELBOURNE),TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/04/1993,1/05/2020,30/04/2027,,"37 Thistlethwaite St, SOUTH MELBOURNE, VIC, 3205",Victoria,-37.83114,144.9526,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,40005525306,5525306,http://www.psc.edu.au,Mr Nicholas Duke,nick.duke@up.education,,(03)96823191,Ms. Sally Fried,"Secretary, Corporate and Academic Governance",,Photography Holdings Pty Ltd,sfried@psc.edu.au,,(03)96823191,Ms Julie Moss,Chief Executive Officer,jmoss@psc.edu.au,,396823191,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115,Impact Community Services Limited,IMPACT Community Services,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/10/2000,1/10/2022,30/09/2029,,"106-108 Bargara Road, Bundaberg East, QLD, 4670",Queensland,-24.85341,152.38015,,Community Based Adult Education Provider,42950261731,634943552,http://www.impact.org.au,Ms. Tanya O'Shea,toshea@impact.org.au,741534233,741534233,Mrs. Deniese Wilcox,Training Services Coordinator,,Impact Community Services Limited,dwilcox@impact.org.au,(07)41534233,(07)41534233,Mrs. Deniese Wilcox,Training Services Coordinator,dwilcox@impact.org.au,(07)41534233,(07)41534233,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
137,ASHT Pty Ltd,Alliance College,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,22/11/2002,1/03/2025,28/02/2032,,"Level 2/ 97  Pirie Street, Adelaide, SA, 5000",South Australia,-34.9258,138.60342,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,71080736456,80736456,https://alliancecollege.edu.au/,Mr Lei Fa,ray@alliancecollege.edu.au,,882231818,Mr Ben Mayne,Chief Operating Officer,,ASHT Pty Ltd,ben@alliancecollege.edu.au,,882231818,Ms Eva Yang,Principal Executive Officer,eva@alliancecollege.edu.au,,882231818,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
142,Chabad Institutions of Victoria Limited,Bnos Chabad;Camp Gan Israel;CHABAD INSTITUTIONS OF AUSTRALIA INC;Chabad Sparks;CHABAD YOUTH;Daminyan;Tzivos Hashem;YESHIVA COLLEGE PRESCHOOL;Young Yeshivah,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/02/1994,8/03/2025,7/03/2032,,"88 Hotham Street, East St Kilda, VIC, 3183",Victoria,-37.86792,144.99994,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,50325485686,614990368,,Mr Shlomo Barber,shlomo.barber@yeshivahcentre.org,,422455565,Mrs. Hadassah Gestetner,Administrator,,Chabad Institutions of Victoria Limited,Ohelchana@ohelchana.edu.au,,395228258,Mrs Rivka Sufrin,Administrator,ohelchana@yeshivahcentre.org,,395228258,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
167,Institute for Aboriginal Development (Aboriginal Corporation),IAD Press;INSTITUTE FOR ABORIGINAL DEVELOPMENT INCORPORATED;Jukurrpa Books,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1999,31/03/2024,30/03/2031,,"8 South Tce, THE GAP, NT, 0870",Northern Territory,-23.712177,133.877166,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,89453866817,,http://www.iad.edu.au,Ms Penca Rafiqi,ceo@iad.edu.au,400960781,889511311,Ms Penca Rafiqi,CEO,,Institute for Aboriginal Development (Aboriginal Corporation),ceo@iad.edu.au,400960781,889511311,Ms Penca Rafiqi,CEO,ceo@iad.edu.au,400960781,889511311,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
168,Nungalinya College Indigenous Corporation,NUNGALINYA COLLEGE,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/12/1999,1/12/2019,30/11/2026,,"Dripstone Road, Casuarina, NT, 0810",Northern Territory,-12.37616,130.87748,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,70730187216,,http://www.nungalinya.edu.au/,Dr Yane Damanik,ydamanik@nungalinya.edu.au,,474068886,Mr. Ben van Gelderen,Principal,,Nungalinya College Indigenous Corporation,bvangelderen@nungalinya.edu.au,448005410,448005410,Mr. Ben van Gelderen,Principal,bvangelderen@nungalinya.edu.au,448005410,448005410,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
170,The Suzan Johnston Organization (Aust) Pty Ltd,SUZAN JOHNSTON AUSTRALIA;SUZAN JOHNSTON TRAINING ORGANIZATION;THE SUZAN JOHNSTON ORGANIZATION AUST PTY LTD,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/10/1993,1/11/2022,31/10/2029,,"Level 22 120 Spencer St, MELBOURNE, VIC, 3000",Victoria,-37.81821,144.95433,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,54050998493,50998493,http://www.sj.vic.edu.au,Mrs. Donna Leigh,donna@sj.vic.edu.au,,396540999,Mrs. Donna Leigh,Chief Executive Officer,,The Suzan Johnston Organization (Aust) Pty Ltd,donna@sj.vic.edu.au,,396540999,Mrs. Donna Leigh,Chief Executive Officer,donna@sj.vic.edu.au,,396540999,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
173,Holmes Commercial Colleges (Melbourne) Ltd,Masters Creative Institute;MELBOURNE SCHOOL OF FASHION,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/12/1992,1/01/2020,6/11/2026,,"185 Spring Street, Melbourne, VIC, 3000",Victoria,-37.8103,144.97227,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,50005085585,5085585,http://www.holmes.edu.au,David Mustafa,dmustafa@holmes.edu.au,,396622055,Ms Haylie Thirlwell,Campus Director,,Holmes Commercial Colleges (Melbourne) Ltd,hthirlwell@headmasters.com.au,412882410,399459522,Ms Haylie Thirlwell,Campus Director,hthirlwell@headmasters.com.au,412882410,399459522,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
186,Clip Joint Academy of Hairdressing Pty Ltd as trustee for the Clip Joint Academy Unit Trust,ACADEMY CLIP JOINT OF HAIRDRESSING;CLIP JOINT ACADEMY OF HAIRDRESSING;CLIP JOINT SCHOOL OF HAIRDRESSING,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/04/2003,4/07/2025,3/07/2032,,"1st Floor
86 Gawler Place, Adelaide, SA, 5000",South Australia,-34.92464,138.6022,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,65007983860,7983860,http://www.clipjoint.com.au,Mr Alfredo Cappella,academy@clipjoint.com.au,,882235600,Mrs. Kerrie Bowen,Principal and Director of Studies,,Clip Joint Academy of Hairdressing Pty Ltd as trustee for the Clip Joint Academy Unit Trust,kerrie@clipjoint.com.au,,882235600,Mrs. Bowen Kerrie,Director of Studies/ Administrative Manager,kerrie@clipjoint.com.au,,882235600,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
195,PARTEC (QLD) Pty. Ltd.,AMAD - (ADVANCED MANUFACTURING & DESIGN CENTRE);COMPOSITES TRAINING CENTRE;PARTEC;PARTEC INSTITUTE,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/10/2022,30/09/2029,,"1030 CAVENDISH RD, Mount Gravatt East, QLD, 4122",Queensland,-27.52597,153.09173,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,49011020732,11020732,http://www.partec.qld.edu.au,Mr Roger Cater,rcater@partec.qld.edu.au,417002734,738497878,Ms Terry Sturman,Training Administration Consultant,,PARTEC (QLD) Pty. Ltd.,terry@partec.qld.edu.au,,738497878,Ms Terry Sturman,Training Administration Consultant,terry@partec.qld.edu.au,,738497878,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
201,Transport Industries Skills Centre Inc,Sutton Road Training Centre,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,27/02/1997,25/10/2024,24/10/2031,,"441 Sutton Rd, Majura, ACT, 2609",Australian Capital Territory,-35.32339,149.24017,,Industry Association,61482053531,,http://www.suttonroad.com.au,Mr Peter Ross Hill,Peter.Hill@suttonroad.com.au,439039942,439039942,,,Office Reception,Transport Industries Skills Centre Inc,Office@suttonroad.com.au,,262977187,Mr Steven Hugler,Business Manager,Steve.Hugler@suttonroad.com.au,,400210632,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
249,MVJ Enterprises Pty Ltd,PERTH COLLEGE OF BEAUTY THERAPY;YES COLLEGE,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,8/02/1994,1/12/2024,31/05/2031,,"339 Albany Highway, Victoria Park, WA, 6100",Western Australia,-31.97353,115.89637,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,75095368773,95368773,http://www.perthcollege.com.au,Mr Mario Gallo,ceo@perthcollege.com.au,415379751,893613111,Mr. Mario Gallo,Chief Executive Officer,,MVJ Enterprises Pty Ltd,enquiries@perthcollege.com.au,,(08)93613111,Mr Mario Gallo,Chief Executive Officer,ceo@perthcollege.com.au,415379751,893613111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
260,Chisholm Institute,CHISHOLM INSTITUTE;CHISHOLM INSTITUTE OF TAFE,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,21/08/1998,30/10/2022,29/10/2029,,"121 Stud Road, Dandenong, VIC, 3175",Victoria,-37.97544,145.22237,,"Technical And Further Education Institute, Skills Institute Or Polytechnic",65335795326,,http://www.chisholm.edu.au/,Mr Stephen Varty,stephen.varty@chisholm.edu.au,417007388,392125331,Client Services Information,VET General Enquiries,,Chisholm Institute,enquiries@chisholm.edu.au,1300244746,1300244746,Mr. Peter Smith,"Academic Registrar, Academic Administration",registrar@chisholm.edu.au,1300244746,1300244746,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
264,SA Ambulance Service,AMBULANCE COVER;AMBULANCE TRANSFER SERVICE;Call Direct;MEDSTAR;MedSTAR Emergency Medical Retrieval;PARAMEDIC AMBULANCE SERVICE;PARAMEDICS;SA AMBULANCE SERVICE FIRST RESPONSE,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/07/1999,1/07/2019,30/06/2026,,"216 Greenhill Road, Eastwood, SA, 5063",South Australia,-34.9408,138.61944,,Enterprise - Government,42875540856,,http://www.saambulance.com.au,Mr Rob Elliott,Rob.Elliott@sa.gov.au,417843750,417843750,Mr. Aaron Caudle,Program Manager Vocational Education and Future Directions,,SA Ambulance Service,SAASRTOCompliance.GenericMailbox@sa.gov.au,,882740331,Mr. Aaron Caudle,Program Manager Vocational Education and Future Directions,SAASRTOCompliance.GenericMailbox@sa.gov.au,,882740331,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
269,Think: Colleges Pty Ltd,SOUTHERN SCHOOL OF NATURAL THERAPIES;The Practice Wellbeing Centre;THINK : COLLEGES;THINK EDUCATION,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,24/04/1995,26/11/2019,25/11/2026,,"1-37 Foveaux St, SURRY HILLS, NSW, 2010",New South Wales,-33.883864,151.209267,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,93050049299,50049299,http://www.think.edu.au,Mr Dan Cockerell,dan.cockerell@torrens.edu.au,475216167,1300575803,Mrs. Trish Fairbourn,Director of Regulatory Compliance,,Think: Colleges Pty Ltd,tfairbourn@Torrens.edu.au,403829613,1300575803,Mrs. Trish Fairbourn,Director of Regulatory Compliance,tfairbourn@Torrens.edu.au,403829613,1300575803,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
275,TAFE Queensland,TAFE QUEENSLAND,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/11/2019,30/06/2026,,"1030 Cavendish Rd, MOUNT GRAVATT EAST, QLD, 4122",Queensland,-27.52597,153.09173,,"Technical And Further Education Institute, Skills Institute Or Polytechnic",72898805093,,https://tafeqld.edu.au/,Mr John Tucker,john.tucker@tafeqld.edu.au,407111226,732440215,,,Customer Services TAFE Queensland,TAFE Queensland,enquiries@tafeqld.edu.au,1300308233,1300308233,Mr Gerry Amos,Acting Executive Director Vocational Education & RTO Manager,gerry.amos@tafeqld.edu.au,,61417739517,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
281,Jobtrain Pty Ltd,selectability Training,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/01/1998,1/10/2022,30/09/2029,,"131 Denham St, TOWNSVILLE CITY, QLD, 4810",Queensland,,,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,36759736468,607784592,http://www.selectabilitytraining.com.au,Ms Debra Burden,debraburden@selectability.com.au,467177004,467177004,Selectability Training Enquiries,Training Administrator,,Jobtrain Pty Ltd,training@selectability.com.au,,744530100,Selectability Training Enquiries,Training Administrator,training@selectability.com.au,,744530100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
305,Jobs South West Inc,JSW Training & Community Services,TRUE,Current,Western Australian Training Accreditation Council (WA TAC),Section 27(1) of the Vocational Education and Training Act WA 1996,11/05/1993,13/11/2024,31/10/2031,,"1/101 Victoria Street, BUNBURY, WA, 6230",Western Australia,-33.31877,115.63645,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,31081676271,81676271,http://www.jsw.org.au,Travis Sprigg,travis.sprigg@swcc.org.au,412695694,97215033,Catherine McGill,RTO Manager,,Jobs South West Inc,cathym@jsw.org.au,477306491,897215033,Catherine McGill,RTO Manager,cathym@jsw.org.au,477306491,897215033,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
328,The Trustee for the Salvation Army (NSW) Property Trust,Eva Burrows College Vocational Training,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,10/04/1995,15/08/2025,14/08/2032,,"Suite 1 Level 1 426 Church St, PARRAMATTA, NSW, 2150",New South Wales,-33.8169,151.00344,,Community Based Adult Education Provider,57507607457,,http://www.evaburrowscollege.edu.au,Major Christine Wright,christine.wright@salvationarmy.org.au,398475410,398475410,Mrs Robyn Culbert,Quality and Compliance Manager,,The Trustee for the Salvation Army (NSW) Property Trust,robyn.culbert@salvationarmy.org.au,408166167,295020459,Mrs Robyn Culbert,Quality and Compliance Manager,robyn.culbert@salvationarmy.org.au,408166167,295020459,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
361,Skill Hire WA Pty Ltd,,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,13/06/1996,1/05/2019,1/08/2026,,"Unit 3 271 Berkshire Rd, FORRESTFIELD, WA, 6058",Western Australia,-31.96523,115.99735,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,95143388881,143388881,http://www.skillhire.com.au,Ben Dahlstrom,ben.dahlstrom@skillhire.com.au,484060344,484060344,Mrs Ronel Derman,Administration and Compliance Manager,,Skill Hire WA Pty Ltd,Ronel.Derman@skillhire.com.au,431534254,861821633,Mr Ryan Piggott,General Manager,ryan.piggott@skillhire.com.au,418700118,418700118,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
366,GEM College of International Business (Australia) Pty Ltd,Digital Marketing Academy;ECO-ACADEMY;FOOD PROCESSORS;SCORPION TRAINING SOLUTIONS;SILVER SERVICE CARE;Workright Australia;WOW! Institute,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,24/09/1993,31/08/2019,30/08/2026,,"52 Prospect Rd, PROSPECT, SA, 5082",South Australia,-34.89255,138.59403,,Education/training Business Or Centre: Privately Operated Registered Training Organisation,70063009521,63009521,http://www.gemcollege.edu.au/,Ms. Monique McCloskey,monique.mccloskey@gemcollege.edu.au,416817743,883423316,Mr. Stephen Short,Quality Control Unit and Compliance Officer,,GEM College of International Business (Australia) Pty Ltd,stephen.short@gemcollege.edu.au,402087193,883423316,Mr. Brendan Lindstrom,Director,brendan.lindstrom@gemcollege.edu.au,419542000,883423316,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
373,Charles Darwin University,CDU BOOKSHOP;CDU Child Care Centre;CDU Northern Editions;CDU PRess;CENTRE FOR YOUTH MUSIC;CHARLES DARWIN UNIVERSITY FOUNDATION;DESERT LANTERN RESTAURANT;EDTRAVEL NORTHERN TERRITORY;IH Darwin;International House Darwin;KARAWA RESTAURANT;NORTH FLINDERS INTERNATIONAL HOUSE;NORTHERN TERRITORY RURAL COLLEGE;TERRITORY FM;TRAINING SOLUTIONS;UNIPRINT NT,TRUE,Current,Australian Skills Quality Authority,National Vocational Education and Training Regulator Act 2011,1/02/1992,21/09/2018,20/09/2025,,"Ellengowan Drive, Casuarina, NT, 0810",Northern Territory,-12.36556,130.8743,,University - Government,54093513649,,http://www.cdu.edu.au,Prof Scott Bowman,vc@cdu.edu.au,,89466040,CDU Reception,Student Central,,Charles Darwin University,student.central@cdu.edu.au,,1800061963,Mrs. Natasha McCrae,Team Leader Accreditation and Registration,natasha.mccrae@cdu.edu.au,,889467775,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
